082	Ich habe Kopfschmerzen.	indi suda / Ou'ani min soudaa fi alrass	I have a headache.	J'ai mal à la tête	Glava me boli.	Ik heb hoofdpijn.	میرے سر میں درد ہے۔	Mere sar mei dard hai.	আমার মাথা ধরেছে / আমার মাথা ব্যথা করছে	amar matha dhorechhe	سرم درد می کند.	Saram dard mekona.	سر مې خوږيږي   	 sar me khugegi	Kam dhimbje koke	Imam glavobolju. (Boli me glava.)	Boli mnie głowa.	Ме боли главата (Me boli glavata)	У меня болит голова	S: Bolí ma hlava / C: Bolí mě hlava	سه رهیشه م  هه یه	Boli me glavata / боли ме главата	Serê min diêşe	S: Jag har ont i huvudet / N: Jeg har vondt i hodet / D: Jeg har hovedpine	Minulla on päänsärky / Minua sattuu päähän / Minulla on pää kipeä		Ho mal di testa/Mi fa male la testa	Başım ağrıyor	Me duele la cabeza	Fáj a fejem	Dói-me a cabeça	ého ponokéfalo	Έχω πονοκέφαλο	Mă doare capul	Man skauda galvą	Masakit ang ulo ko	Tôi bị đau đầu			
083	Ich habe Husten.	ladaya sou'al	I have a cough.	Je tousse	Kašljam.	Ik moet hoesten.	مجھے کھانسی ہے۔	Mujhey khaansi hai	আমার কাশি  হয়েছে 	amar kashi hoyechhe	سرفه می کنم 	Sorfa mekonam.	زه ټوخیږم   	za ttukhegam	Kam kollë	Kašljem	Mam kaszel.	Кашлам (Kashlam)	у меня кашель	S: Kašlem.  / C: Mám kašel	كؤخه م هه يه	Imam kashlitsa / Имам кашлица	Kuxika min heye	S: Jag har hosta N: Jeg har en hoste D: Jeg hoster	Minulla on yskä		Ho la tosse.	Öksürüğüm var	Tengo tos	Köhögök	Tenho tosse.	ého víkha	Έχω βήχα / Βήχω	Tușesc	Aš kosėju	May ubo ako/Inuubo ako	Tôi bị ho			
084	Ich habe Halsschmerzen.	iltihab halek	I have a sore throat.	j'ai mal à la gorge	Grlo me boli.	Ik heb keelpijn.	میرا گلہ خراب ہے	Mera gala kharab hai	আমার গলা ব্যথা করছে	amar gola betha korchhe	 گلون ام درد می کند. 	Glunam dard mekona.	زما ستونی خوږیږي    	 zma stune khugegi	Kam dhimbje gryke	Boli me grlo.	Boli mnie gardło.	Ме боли грлото (Me boli grloto)	у меня болит горло	S: Bolí ma v krku / C: Bolí mě v krku	قورگم  دهیشئ	Boli me gurloto / Боли ме гърлото	Qirika min	S: Jag har ont i halsen N: Jeg har vondt i halsen D: Jeg har ondt i halsen	Minulla on kurkku kipeänä		Mi fa male la gola	Boğazım ağrıyor	Me duele la garganta	Fáj a torkom	Tenho dor de garganta	me ponái o lemós mu	Με πονάει ο λαιμός μου	Mă doare gâtul	Man skauda gerklę	Masakit ang lalamunan ko	Tôi bị đau họng			
085	Mein Kind hat Halsschmerzen/Husten.	tefli indouhou sou'al 	My child has a sore throat/ cough	Mon enfant tousse / a mal à la gorge	Moj otrok ima boleče grlo / kašlja	Mijn kind moet hoesten.	میرے بچے کو کھانسی  ہے۔	Mere bachchey ko khaansi hai	আমার বাচ্চার কাশি হয়েছে	amar bachchare kashi hoyechhe	بجه ام سرفه می کند / گلون اش درد می کند.	Bachem sorfa mekona / glunesh dard mekona.	زما بچی/بچۍ ټوخیږي		Fëmijës sime i dhemb gryka	Moje dijete (dete) kašlje.	Moje dziecko boli gardło / kaszle	Моето дете го боли грло (Moeto dete go boli grlo)	у моего ребёнка кашель/болит горло	S: Moje dieťa bolí v krku.  / C: Mé dítě bolí v krku.	منداله كه م كؤخه /  و قورگ هیشه ی هه يه	Deteto mi go boli gurloto / ima kashlitsa / Детето ми го боли гърлото / има кашлица	Qirika zaroka min diêşe/  Zaroka min dikuxê	S: Mitt barn har hosta N: Mitt barn har en hoste D: Mit barn hoster	Lapsellani on yskä.		Il mio bambino / la mia bambina ha la tosse.	Çocuğumun boğazı ağrıyor/Çocuğumun öksürüğü var	Mi hijo/hija tiene tos	A gyerekem köhög.	O meu filho/a minha filha tem tosse.	To pedí mu éhi ponólemo / víha	Το παιδί μου έχει πονόλαιμο / βήχα	Copilul meu tușește/Pe copilul meu îl doare gâtul	Mano vaikui skauda gerklę / Mano vaikas kosėja	Masakit ang lalamunan ng anak ko	Con tôi bị đau họng			
086	(die) Erkältung	zukam	cold	refroidissement	prehlad	Verkouden; (de) verkoudheid	زکام	Zukaam	ঠান্ডা লাগা 	thanda laga	ریزش	rezesh	ریزش/زکام		ftohtë	Prehlada	przeziębienie	Настинка (Nastinka)	простуда	S, C: zima	سه رما	Nastinka / Настинка	Bapêş	S: Förkylning N: Forkjølelse D: Forkølelse	Vilustunut		Raffreddore	Nezle	Resfrío / Resfriado	megfázás	Constipação / Resfriado	kriológima	κρυολόγημα	Răceala	Peršalimas	Sipon	lạnh			
087	(der) Durchfall	alisshal	diarrhea	diarrhée	driska	diarree	دست 	Dast 	ডায়রিয়া/আমাশা  	dayriya/amasha	 اسهال 	eshaal	نس ناستی/اسهال		diarre	Proljev (proliv, dijareja)	rozwolnienie	Пролив (Proliv)	понос	S: hnačka / C: diarea / průjem	سکچوون	Diarija / Диария	Hinavêşî	S: Diarré N: Diaré D: Diarre	Ripuli		Diarrea	İshal	Diarrea	hasmenés	Diarreia	diária	διάρροια	diaree	Viduriavimas	Pagtatae	tiêu chảy			
	(die) Verstopfung	al'imssak	constipation	constipation	zaprtje	verstopping	قبض	Qabz	কষা 	kosha	قبض	qabz	قبضیت		kaps	Zatvor	zaparcie	Запек (Zapek)	запор	S: zápcha / C: zácpa	قه بزی	Zapek / Запек	qebzitî	S: Förstoppning N: Forstoppelse D: Forstoppelse	ummetus		Stitichezza	Kabızlık	Estreñimiento / Constipación	székrekedés	Prisão de ventre	diskiliótita	δυσκοιλιότητα	constipație	Vidurių užkietėjimas	Hirap sa pagtatae	táo bón			
	(der) Scheidenpilz	Iltihab Fetri mihbali	vaginal yeast infection (thrush)	la mycose vaginale (candidose)	vaginalno glivično vnetje	vaginale schimmel	 خمیر انفکشن	 khamir infection	ভ্যাজাইনাল ঈস্ট ইনফেকশন	vaginal yeast infection (thrush)					infeksion vaginal/myk	Vaginalna (gljivična) infekcija	grzybica pochwy	Вагинална инфекција (Vaginalna infekcija)	вагинальная инфекция	S: vaginálna mykóza / C: vaginální mykóza	ئيلتيهابى زنانه, بورى ميزلدان	Waginalna infektija s gubitchki / Вагинална инфекция с гъбички	Bîrova vajîna	S: Vaginal svamp N: Vaginal sopp D: Skedesvamp	hiivatulehdus		Micosi vaginale / Candidosi	Vajinada mantar enfeksiyonu	Candidiasis / Hongo vaginal 	hüvelyi gombafertőzés	Infeção vaginal / Candidíase vaginal	Kolpikí mykitíasi/kantintíasi	Κολπική μυκητίαση/καντιντίαση	infecție vaginală	Pienligė	Impeksyon sa ari 	Tôi bị bệnh nấm ở vùng kín			
088	(der) Fußpilz	Qadam al riyadi 	athlete's foot	 le pied d'athlète, mycose des pieds	Glivice na nogah	voetschimmel	کھلاڑی کے پاؤں کا انفکشن	"khilari ke paon" ka infection.	পায়ের ফাঙ্গাল ইনফেকশন 	Payer fungal infection					Inflamacion mykor	Atletsko stopalo	grzybica stóp	Атлетско стопало (Atletsko stopalo)	Дерматофития, трихофития	S: pleseň na nohách / C: plíseň nohou		Gubitchki po krakata / Гъбички по краката	Bîrova pî	S: Fotsvamp N: Fotsvamp D: Fodsvamp	jalkasieni		Micosi del piede	Ayak mantarı	Pie de atleta / Hongos en los pies	lábgombásodás	Pé de atleta	míkites	μύκητες	micoza piciorului / 	Pilnapadystė	alipunga	Tôi bị bệnh nấm ở chân			
	(die) Läuse / (die) Kopfläuse	Qamel elrass	head lice	poux (de tête)	Uši	hoofdluis	سر کی جویں	Sar kee jooein	ঊকুন	ukun			سپږي		Morra koke	uši / vaške	wszy / wszawica	Вошки (Voshki)	вши на голове	S: vši / C: vši		Wushki / Въшки	Sipîyê serî	S: Löss N: Lus D: Lus	päätäi		Pidocchi  	Baş biti	Piojos	fejtetű	Piolhos	psires sto kefáli	ψείρες στο κεφάλι	păduchii	Utelės galvoje	Kuto	Chấn rận			
																																								
	Lebensmittel		Food	Nourriture	Hrana	Eten	کھانا	Khaana	খাবারদাবার 	khabardabar 	غذا 	Ghazaa			Ushqim	Hrana	Żywność	Намирници(Namirnici)	Еда	S, C: Potraviny			Xwarin/xurik	S: Livsmedel	Elintarvikkeet		Cibo	Yiyecekler	Alimentos	élelmiszer	Comida	Fagitó	Φαγητό	Mâncare 	Maistas	Pagkain				
	(das) Frühstück		Breakfast	petit déjeuner	Zajtrk	ontbijt	ناشتا	naashta							Mëngjes	doručak	śniadanie	доручек (doruchek)	Завтрак	snídaně		Zakuska / Закуска	taştê	S: Frukost			(la) colazione	kahvaltı	desayuno	reggeli	pequeno almoço	proino	πρωινό	micul dejun	Pusryčiai	almusal/agahan	Bữa ăn sáng			
89	(das) Mittagessen		Lunch	déjeuner	Kosilo	lunch	دوپہر کا کهانا	Dopahr ka khaana							Drekë	ručak	obiad	ручек (ruchek)	Обед	oběd		Objqd / Обяд	firavîn	S: Lunch			(il) pranzo	öğle yemeği	almuerzo	ebéd	almoço	mesimeriano	μεσημεριανό	prânz	Pietūs	tanghalian	Bữa ăn trưa			
91	(das) Abendessen		Dinner	dîner	Večerja	avondeten	رات کا کهانا	Raat ka khaana							Darkë	večera	kolacja	вечера (vechera)	Ужин	večeře		Wetcherja / Вечеря	şîv	S: Kvällsmat			(la) cena	akşam yemeği	cena	vacsora	jantar	dipno	δείπνο	cina	Vakarienė	hapunan	Bữa ăn tối			
	Ist das Essen Halal?	hal hadha 't-ta'am halal / Had Akel Halal	Is this food Halal?	Cette nourriture est-elle Halal?	Je hrana Halal?	Is het eten halal?	کیا یہ کھانا حلال ہے؟	kya yeh khana halal hai?	খাবারটা কি হালাল	khabarta ki halal 	این غذا حلال است؟	in ghazaa halaal ast?	ډوډۍ حلال دی؟ 	dodey halal dai	A është ushqimi hallall?	Je li ova hrana halal (dozvoljena)?	Czy to jest Halal?	Дали оваа храна е халал? (Dali ovaa hrana e halal?)	Эта еда Халяльная?	S: Je toto jedlo halal? / C: Je toto jídlo halal?	ئایا ئه‌م خواردنه‌ حه‌ڵاله‌؟	tazi hrana halal li e? /тази храна халал ли е?	Ev xwarin helal e gelo?	S: Är maten Halal? / N: Er maten Halal? / D: Er maden Halal?	Onko tämä halal-ruokaa?	Er maturinn halal?	Questo cibo è Halal?	Helal mı?	¿La comida es Halal?	Ez az étel 'halal'?	Essa comida é Halal?	íne to fagitó Halal?	Είναι το φαγητό Χαλάλ;	Mâncarea este halal?	Ar šis maistas Halal?	Halal ba ang pagkain?	(There is no halal food in vietnam)		as jashe halal e ?	
92	Ich bin allergisch gegen…	Ana 'endi hasasiyah did....	I am allergic to….	Je suis allergique à...	Alergičen sem na....	Ik ben allergisch voor ...	مجھے ۔۔۔ سے الرجی ہے۔	Mujhey .... se allergy hai.	আমার ... তে এলার্জি আছে 	amar ... te allergy achhe 	به...آلرژی دارم	Ba ____ allerji daaram.	زه حساسیت لرم له...      	za hassasiyat laram la...	Kam alergji ndaj…	Imam alergiju na....	Mam alergię na...	Алергичен сум на (Alergichen sum na (m)) / Алергична сум на (Alergichna sum na (f))	У меня аллергия на...	S: Mám alergiu na... / C: Mám alergii na... /  / Jsem alergický na...	من حه ساسیه م هه یه به ......	imam alergia kam... / имам алергия към...	Alerjîya min ji bo...heye.	S: Jag är allergisk mot… / N: Jeg er allergisk mot.. / D: Jeg er allergisk over for..	Olen allerginen ...		Sono allergico a…	..... alerjim var	Soy alérgico/ alérgica a...	Allergiás vagyok	Sou alérgico/a a...	Ého alergía sto...	Έχω αλλεργία στο..	Sunt alergic/alergică la...	Aš alergiškas...	May allergy ako sa ...	Tôi bị dị ứng thức ăn với ...			
93	(das) Rindfleisch	laham bqr	beef	boeuf	govedina	(het) rundvlees	گائےکاگوشت	Gaey ka gosht	গরুর মাংস	gorur mangsho	 گوشت گاو	Goshte gaaw			mish lope / biftek	govedina	wołowina	говедско (govedsko)	говядина	S: hovädzie / C: hovězí		goveshdo / говеждо	goşte ga	S: Nötkött  /  N: Storfekjøtt  /  D:Oksekød	naudanliha		Carne di manzo	sığır eti/dana	Carne de res / carne de vaca	marhahús	Carne bovina / de vaca	mosharìsio	μοσχαρίσιο	carne de vită	Jautiena	karne ng baka / Baka	Thịt bò			
94	(das) Huhn	dajaaj	chicken	poulet	piščanec	kip	مرغی	Murghi	মুরগি	murgi	مرغ	Morgh			pulë	piletina	kurczak	пилешко (pileshko)	курица	C: kuře		pile / пиле	mirîşk	S: kyckling / N: Kylling	Kana		Pollo	tavuk	Pollo	csirkehús	frango	kotòpulo	κοτόπουλο	pui	Vištiena	Manok	Thịt gà			
95	Ich esse kein Schweinefleisch	la akol lahem alkhanzir	I do not eat pork	Je ne mange pas de porc	Ne jem svinjine	Ik eet geen varkensvlees	میں سور کا گوشت نہیں کھاتا	Mein suwar ka gosht nahi khaata 	আমি শুকরের মাংস খাইনা 	ami shukorer mangsho khaina 	من گوشت خوک نمیخورم	Ma goshte khok namekhoram.			Unë nuk ha mish derri	Ne jedem svinjetinu. 	Nie jem wieprzowiny.	Не јадам свинско (Ne jadam svinsko)	я не ем свинину	S: Nejem bravčové. / C: Nejím vepřové.		Ne iam svinsko / Не ям свинско	Ez goştê beraz naxwim	S: Jag äter inte griskött N: Jeg spiser ikke grisekjøtt D: Jeg spiser ikke svinekød	en syö sianlihaa		Non mangio carne di maiale	Domuz eti yemem.	No como carne de cerdo	Nem eszem sertéshúst.	Eu não como carne de porco.	Den tróo hirinó	Δεν τρώω χοιρινό	Nu mănânc porc	Aš nevalgau kiaulienos	Hindi ako kumakain ng baboy	Tôi không ăn thịt heo			
96	Ich bin Vegetarier. Ich esse kein Fleisch und keinen Fisch.	 ana nabáti	I am a vegetarian. / I don’t eat meat and fish.	je suis végétarien(ne). Je ne mange pas de viande ni de poisson.	Sem vegetarijanec (m) Sem vegetarijanka (f)	Ik ben vegetariër. Ik eet geen vlees en vis.	میں صرف سبزی کھاتا ہوں. مجھے گوشت یا مچھلی نہیں چاہیے	Mein sirf sabzi khata hoon. mujhay gosht aur machli nahin chahiye	আমি ভেজিট্যারিয়ান / আমি কোনো মাছ-মাংস খাইনা 	ami kono machh-mangsho khai na	 گوشت و ماهی نمیخورم	Gosht wa maahi namekhoram.	زه غوښه نخورم   	za ghwakha nakhoram	Jam vegjetarian(e)	Ja sam vegetarijanac (m) / vegetarijanka (f). Ne jedem meso ni ribu. /  / 	Jestem wegetarianinem (m) / wegetarianką (f). Nie jem mięsa i ryb.	Вегетаријанец (m)/вегетаријанта (f)) сум. Не јадам месо и риба. (Vegetarijanec (m)/(vegetarijanka (f) sum. Ne jadam meso i riba)	Я вегетарианец / вегетарианка	S: Som vegetarián. Nejem mäso a ryby.  / C: Jsem vegetarián. Nejím maso a ryby.	من سه وزه خؤرم گؤشت و ماسى ناخؤم	Vegetarianets sum / Вегетарианец съм	Ez vejeteryaneke me	S: Jag är vegetarian N: Jeg er vegetarianer / D: Jeg er vegetar	Olen kasvissyöjä.		Sono vegetariano / vegetariana	vejeteryanım	Soy vegetariano / Soy vegetariana	Vegetáriánus vagyok. Nem eszem húst és halat.	Sou vegetariano/a	íme hortofágos. Den tróo kréas ke psári.	Είμαι χορτοφάγος. Δεν τρώω κρέας και ψάρι.	Sunt vegetarian/vegetariană. Nu mănânc nici carne, nici peşte	Aš vegetaras. Aš nevalgau mėsos ir žuvies.	Gulay lang kinakain ko	Tôi ăn chay			
97	(die) Eier [pl]	 al bayid	eggs [pl]	œufs	jajca	(de) eieren	انڈے	Andey	ডিম	dim	تخم مرغ  / 	Tokhome morgh			vezë	jaja	jaja, jajka	јајца (jajca)	яйца	S: vajce / C: vejce		Yaitsa / Яйца	hêk	S: Ägg N: Egg D: Æg	kananmuna		Uova	yumurta	Huevos	Tojás	Ovos	avgà	αυγά 	ouă	Kiaušiniai [pl]	itlog	Trứng			
	(der) Fisch	- Samak	fish	poisson	ribe	(de) vis	مچھلی	Machli	মাছ	machh	ماهی	Maahi			peshk	riba	ryba	риба (riba)	рыба	S: ryba / C: ryba		Riba / риба	masî	S: Fisk N: Fisk D: Fisk	kala		Pesce	balık	Pescado	Hal	Peixe	psàri	ψάρι 	pește	Žuvis	isda	Cá			
	(das) Brot	AL khubz /  'aysh	bread	(du) pain	kruh	(het) brood	 روٹی	Roti	রুটি	ruti	نان خشک	Naane khoshk	وچه ډوډۍ    	wacha dodey	bukë	kruh / hljeb / hleb	chleb	леб (leb)	хлеб	S: chlieb C: chleba	 نان	Hlyab / Хляб	nan	S: Bröd N: Brød D: Brød	leipä		Pane	ekmek	Pan	kenyér	Pão	psomì	ψωμί	pâine	Duona	tinapay	Bánh mỳ			
98	(das) Wasser	m'a, miyah   / Mai	water	(de l') eau	voda	(het) water	پانی	Paani	পানি	pani	آب	aaw	اوبه    	owbá	Ujë	voda	woda	Вода (Voda)	Вода	S: voda / C: voda	ئاو	voda / вода	Av	S: Vatten N: Vann / D: Vand	Vesi		Acqua	Su	Agua	Víz	Água	Neró	Νερό	Apă	Vanduo	Tubig	Nước			
99	(die) Milch	Al labn/al halib	milk	(du) lait	mleko	(de) melk	دودھ	Doodh	দুধ	dudh	 شیر	shir	شوده   	showdá	Qumësht	mlijeko / mleko	mleko	Млеко (Mleko)	молоко	S: mlieko C: mléko	شير	mlyako / мляко	şîr	S: Mjölk N: Melk D: Mælk	maito		latte	süt	Leche	tej	leite	gàla	γάλα	lapte	Pienas	gatas	Sữa			
	(der) Kaffee	Al qahwa	coffee	café	kava	(de) koffie	کوفی	Coffee	কফি	Kofi	کوفی / قهوه	Kofi / qahwa			kafe	kava / kafa	kawa	Кафе (Kafe)	кофе	S, C: káva		Kafé / кафе	qahwe	S: Kaffe N: Kaffe D: Kaffe	kahvi		caffè	kahve	Café	kávé	café	kafè	καφέ	cafea	Kava	kape	Cà phê			
100	(der) Tee	Al shaay	tea	thé	čaj	(de) thee	چائے	chai	চা	cha	چای	Chai			çaj	čaj	herbata	Чај (Chaj)	чай	S, C: čaj		Tshai / Чай	çay	S: Te N: Te D: Te	tee		té	çay	Té	tea	chá	tsài	τσάι	ceai	Arbata	tsaa	Trà			
101	Ich trinke keinen Alkohol	la ashrab alkohol	I don't drink alcohol	Je ne bois pas d'alcool	Ne pijem alkohola	Ik drink geen alcohol	میں شراب نہیں پیتا	Mein sharab nahin peeta 	আমি মদ/এলকোহল খাই না	ami mod/alcohol khaina	من الکل نمیخورم 	Ma alkol namekhoram			Unë nuk pi alkol	Ne pijem alkohol.	Nie piję alkoholu.	Не пијам алкохол (Ne pijam alkohol)	я не пью алкоголь	S: Nepijem alkohol / C: Nepiju alkohol.		Ne piya alkohol / Не пия алкохол	Ez alkol venaxim	S: Jag dricker inte alkohol N: Jeg drikker ikke alkohol D: Jeg drikker ikke alkohol	en juo alkoholia  / en käytä alkoholia		Non bevo/consumo alcoolici	Alkol içmem.	No bebo alcohol	Nem iszom alkoholt.	Eu não bebo álcool.	den pino alkòol	Δεν πίνω αλκοόλ	Nu beau alcool	Aš negeriu alkoholio	Hindi ako umiinom ng alak     /        Hindi ako umiinom	Tôi không uống rượu			
102	(das) Obst	Fakiha	fruit	fruits	sadje	(het) fruit	پھل	phal	ফল 	Pfol	میوه 	mewa			frut	voće	owoce	Овошје (ovoshje)	овощи	S: ovocie C: ovoce		Plodove / плодове	fêkî	S+N: Frukt D: Frugt	hedelmä		frutta	meyve	Frutas	gyümölcs	fruta	frouta	φρούτα	fructe	Vaisiai [pl]	prutas	Trái cây			
102	(der) Apfel	Al tufah	apple	pomme	jabolko	(de) appel	سیب	saib	আপেল	Apel	 سیب	sib			mollë	jabuka	jabłko	Јаболко (Jabolko)	яблоко	S, C: jablko		Jabulka / ябълка	sêv	S: äpple N: Eple D: Æble	omena		mela	elma	Manzana(s)	alma	maçã(s)	mìlo	μήλο	măr	Obuolys	mansanas	Quả táo			
104	(die) Orange/Apfelsine	Al burtuqal	orange	orange	pomaranča	(de) sinaasappel	سنترہ / مالٹا	Santara/Malta	কমলা	Komola	نارنج	naaranj			portokall	naranča 	pomarańcza	Портокал (Portokal)	апельсин	S: pomaranč / C: pomeranč		Portokal / портокал	porteqal	S: Apelsin (apelsiner) N: Appelsin (appelsiner)  D: Appelsin	appelsiini		arancia	portakal	Naranja(s)	narancs	laranja(s)	portokali	πορτοκάλι	portocală	Apelsinas		Quả cam			
	(der) Pfirsich	Diraaq	peach	pêche	breskev	(de) perzik	آڑو	Aaroo	পীচ 	Peach	شفت آلو	shaftaalu			pjeshkë	breskva 	brzoskwinia	Праска (Praska)	персик	S: broskyňa / C: broskev		Praskova / праскова	xox	S: Persika N: Fersken  D: Fersken	persikka		pesca	şeftali	Melocotón(es) / Durazno(s)	őszibarack	pêssego(s)	rodakino	ροδάκινο	piersică	Persikas		Quả đào			
105	(die) Gemüse [pl]	al khudrawat	vegetables [pl]	légumes	zelenjava	(de) groente	سبزیاں	Sabziyan	সবজি 	Shobji	 سبزیجات	sabzijaat			perime	povrće	warzywa	зеленчук (zelenchuk)	овощи	C, S: zelenina		Zelentshutsi / зеленчуци	zebze/zewze	S: Grönsaker N: Grønnsaker D: Grøntsager	vihannekset		Verdure	sebze	Verduras	zöldség	vegetais / verduras / verdes	lahaniká	λαχανικά	legume	Daržovės [pl]	mga gulay	Rau			
	(die) Kartoffeln [pl]	Battatta	potatoes [pl]	pommes de terre	krompir	(de) aardappelen; (de) aardappels	آلو	Aaloo	আলু	alu	کج آلو	Kachaalu			patate	krumpir / krompir	ziemniaki	компири (kompiri)	картофель	S: zemiaky C: brambory		Kartofi / картофи	patat/kartol	S: Potatis N: Poteter D: Kartofler	peruna		Patate	patates	Patatas/papas	burgonya	batatas	patàtes	πατάτες	cartofi	Bulvės [pl]	patatas	Khoai tây			
106	(die) Bohnen [pl]	Fasoulia'a / Foul	beans [pl]	haricots	fižol	(de) bonen	لوبیا	Lobia	বরবটি / সীম 	borboti /sim	لوبیا 	loobiaa			Mashurka/bishtaja	grah / boranija	fasola	грав (grav)	фасоль зелёный	S: fazuľa C: fazole		Fasul / фасул	fasûlî	S: Bönor D: Bønner	pavut		fagioli	fasulye	Judías, Habichuelas/frijoles/Chauchas	bab	feijões	fasolia	φασόλια	fasole	Žirniai [pl]		Đậu			
107	(die) Erbsen [pl]	Bazila 	peas [pl]	petits pois	grah	(de) erwten	مٹر	Matar	মটরশুটি	Motorshuti	 نخود	nokhod			bizele	grašak	groch	Грашок (Grashok)	зелёный горошек	S: hrášok C: hrášek		Grah / грах	şoqîl	S: Ärter  D: Ærter	herneet		piselli	bezelye	Guisante(s), Arveja(s)	borsó	ervilhas	arakas	αρακάς	mazăre	Pupelės [pl]		Đậu			
108	(die) Kichererbsen [pl]		chickpeas [pl]	pois chiches	čičerika	(de) kikkererwten	چھولا / چنے	Chola / chanay			شور نخود	shor nakhot			Qiqra	slanutak / leblebija	ciecierzyca	леблебија (leblebija)	турецкий горох			Nahut / нахут	nok	S: Kikärtor			(il) cece	nohut	garbanzo(s)	csicseriborsó	grão	revithi	ρεβίθι	năut	Sėjamas avinžirnis		Đậu hà lan			
	(die) Aubergine		eggplant (US) / aubergine (UK)	aubergine	jajčevec	(de) aubergine	بینگن	Baingan			باذنجان سیاه	banjaan siyaah			patëllxhan	patlidžan	bakłażan	модар патлиџан (modar patlidzhan)	баклажан	lilek		Patladshan / патладжан	balcan/bacanê reş	S: Aubergine			(la) melanzana	patlıcan	berenjena(s)	padlizsán	beringela	melitzana	μελιτζάνα	vânătă	Baklažanas	talong	Cà tím			
109	(die) Karotten/Möhren [pl]	Jazar	carrots [pl]	carottes	korenje	(de) wortelen; (de) wortels	گاجر	Gaajar	গাজর	Gajor	زردک	zardak			karrota	mrkve / šargarepe	marchew	Моркови (Morkovi)	морковь	S: mrkva C: mrkev		Morkov / морков	gizêr	S: Morot (Morötter) N: Gulrot (Gulrøtter)  D:Gulerod (Gulerødder)	porkkana		carota	havuç	Zanahoria(s)	sárgarépa	cenouras	karota	καρότα	morcovi	Morkos [pl]	carrot	Cà rốt			
110	(die) Tomaten [pl]	Tamatem / Banadoura	tomatoes [pl]	tomates	paradižnik	(de) tomaten	ٹماٹر	Tamaatar	টমেটো 	Tomato 	باذنجان رومی	banjaan-e-rumi			domate	rajčice / paradajz	pomidor	Домати (Domati)	помидор	S: paradajka C: rajče		Domati / домати 	fringî	S+N+D: Tomat (tomater) 	tomaatti		pomodoro	domates	Tomate(s)	paradicsom	tomates	domates	ντομάτες	roșii	Pomidorai [pl]	kamatis	Cà chua			
111	(der) Zucker	Soukkar	sugar	sucre	sladkor	(de) suiker	شکر	Shakar	চিনি	chini	شکر	shakar			sheqer	šećer	cukier	Шеќер (shekjer)	сахар	S: cukor C: cukr		Zahar / захар	şekir	S: Socker N+D: Sukker	sokeri		zucchero	şeker	Azúcar	cukor	açúcar	zahari	ζάχαρη	zahăr	Cukrus	asukal	Đường ngọt			
112	(das) Mehl	taheen	flour	farine	moka	(de) bloem	آٹا	Aataa 	আটা / ময়দা 	Ata /moyda	آرد 	aard			miell	brašno	mąka	Брашно (brashno)	мука	S: múka C: mouka		Brashno / брашно	ard	S: Mjöl N+D: Mel	jauho		farina	un	Harina	liszt	farinha	alevri	αλεύρι	făină	Miltai	harina	Bột mỳ			
113	(der) Honig	Aassal	honey	miel	med	(de) honing	شہد	Shahad	মধু 	modhu	عسل	asal			mjaltë	med	miód	Мед (med)	мёд	S, C: med		Med / мед	hingiv	S: Honung N+D: Honning	hunaja		miele	bal	Miel	méz	mel	meli	μέλι	miere	Medus		Mật			
114	(der) Käse	Jobn	cheese	fromage	sir	(de) kaas	پنیر / چیز	Paneer/cheese	পনির / চিজ 	Ponir	 پنیر	panir			dhjathë	sir	ser	Сирење (sirenje)	сыр	S: syr C: sýr		Sirene / сирене	penêr	S+N+D: Ost	juusto		formaggio	peynir	Queso	sajt	queijo	tiri	τυρί	brânză	Sūris	keso	Pho ma			
115	(das) Salz	Melh	salt	sel	sol	(het) zout	نمک	Namak	লবন 	lobon	 نمک 	namak			kripë	sol / so	sól	Сол (sol)	соль	S: soľ C: sůl		Sol / сол	xwê	S+N+D: Salt	suola		sale	tuz	Sal	só	sal	alati	αλάτι	sare	Druska	asin	Muối			
116	(der) Pfeffer	Bihar Aswad	pepper (spice)	poivre	poper	(de) peper	گول مرچ	Gol mirch	গোলমরিচ 	golmorich	مرچ سرخ	murch-e-sorkh			piper (erzë)	papar	pieprz	Бибер (biber)	перец специя	C: paprika		Piper / пипер	îsota reş	S: Peppar / N: Pepper /  D: Peber	pippuri		Pepe	kara biber	Pimienta	bors	pimenta	piperi	πιπέρι	piper	Pipirai	sili	Hạt tiêu			
	(der) Reis	Riz	rice	riz	riž	(de) rijst	چانول	chaawal	চাল / ভাত  	chal / bhat	برنج 	brinj			oriz	riža / pirinač	ryż	Ориз (oriz)	рис	C: rýže		Oriz / ориз	birinc	D +N : Ris	riisi		riso	pilav	Arroz	rizs	Arroz	rizi	ρύζι	orez	Ryžiai	bigas - (uncooked rice or rice grains)     /      kanin - (cooked rice)	Gạo			
	(die) Nudeln	Maakarouna	pasta	pâtes	testenine	(de) pasta	پاستہ / نوڈل	Paasta / Noodle	নুডল 	Noodle	 ماکارونی	maakaaroni			makarona	tjestenina / testenina	makaron	Тестенини (testenini)	макароны	C: těstoviny		Makaroneni / макаронени изделия	meqarne	S+D + N: Pasta	pasta		pasta	makarna	Pasta	tészta	Massa	makaronia	ζυμαρικά, μακαρόνια	tăiței	Makaronai		Mỳ sợi			
